unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1577689200,2019-12-30 07:00:00,BTC/USD,7361.13,7384.9,7357.09,7364.66,977315.81,132.59
1577685600,2019-12-30 06:00:00,BTC/USD,7362.24,7371.26,7353.17,7361.13,426245.94,57.9
1577682000,2019-12-30 05:00:00,BTC/USD,7365.95,7367.69,7351.66,7362.24,205278.31,27.88
1577678400,2019-12-30 04:00:00,BTC/USD,7339.0,7368.9,7333.0,7365.95,324040.61,44.07
1577674800,2019-12-30 03:00:00,BTC/USD,7350.95,7355.0,7329.0,7339.0,265717.79,36.17
1577671200,2019-12-30 02:00:00,BTC/USD,7342.15,7361.6,7328.36,7350.95,363019.41,49.42
1577667600,2019-12-30 01:00:00,BTC/USD,7329.0,7352.17,7324.14,7342.15,565422.14,77.08
1577664000,2019-12-30 00:00:00,BTC/USD,7385.54,7385.54,7302.35,7329.0,810281.19,110.58
1577660400,2019-12-29 23:00:00,BTC/USD,7387.81,7410.13,7373.36,7385.54,397723.87,53.84
1577656800,2019-12-29 22:00:00,BTC/USD,7383.38,7424.73,7380.15,7387.81,204470.76,27.61
1577653200,2019-12-29 21:00:00,BTC/USD,7390.79,7399.19,7355.0,7383.38,508405.39,68.91
1577649600,2019-12-29 20:00:00,BTC/USD,7464.08,7524.46,7338.91,7390.79,7324025.55,981.89
1577646000,2019-12-29 19:00:00,BTC/USD,7422.0,7468.31,7401.65,7464.08,950402.04,127.77
1577642400,2019-12-29 18:00:00,BTC/USD,7399.18,7422.01,7389.42,7422.0,177113.97,23.93
1577638800,2019-12-29 17:00:00,BTC/USD,7391.62,7401.26,7368.22,7399.18,235099.96,31.82
1577635200,2019-12-29 16:00:00,BTC/USD,7383.47,7423.86,7377.37,7391.62,1008084.56,136.32
1577631600,2019-12-29 15:00:00,BTC/USD,7374.61,7409.31,7354.72,7383.47,1967604.59,267.01
1577628000,2019-12-29 14:00:00,BTC/USD,7389.44,7400.0,7373.26,7374.61,1062641.71,143.83
1577624400,2019-12-29 13:00:00,BTC/USD,7350.62,7389.86,7327.0,7389.44,1537305.51,208.53
1577620800,2019-12-29 12:00:00,BTC/USD,7330.0,7355.85,7305.84,7350.62,510593.39,69.63
1577617200,2019-12-29 11:00:00,BTC/USD,7308.83,7330.31,7304.63,7330.0,417559.43,57.01
1577613600,2019-12-29 10:00:00,BTC/USD,7290.68,7316.04,7290.28,7308.83,253797.21,34.73
1577610000,2019-12-29 09:00:00,BTC/USD,7348.08,7350.0,7290.55,7290.68,565534.38,77.34
1577606400,2019-12-29 08:00:00,BTC/USD,7302.89,7362.0,7301.41,7348.08,620575.83,84.54
1577602800,2019-12-29 07:00:00,BTC/USD,7313.54,7315.07,7297.62,7302.89,68482.72,9.371
1577599200,2019-12-29 06:00:00,BTC/USD,7310.08,7313.54,7292.23,7313.54,64773.81,8.871
1577595600,2019-12-29 05:00:00,BTC/USD,7285.72,7310.08,7276.48,7310.08,128426.75,17.61
1577592000,2019-12-29 04:00:00,BTC/USD,7290.22,7296.45,7285.72,7285.72,393865.58,54.0
1577588400,2019-12-29 03:00:00,BTC/USD,7293.32,7296.45,7286.01,7290.22,228494.83,31.33
1577584800,2019-12-29 02:00:00,BTC/USD,7284.77,7293.32,7275.99,7293.32,94954.11,13.03
1577581200,2019-12-29 01:00:00,BTC/USD,7291.46,7301.7,7276.25,7284.77,152421.87,20.92
1577577600,2019-12-29 00:00:00,BTC/USD,7296.24,7304.34,7274.43,7291.46,247820.94,34.01
1577574000,2019-12-28 23:00:00,BTC/USD,7302.41,7320.71,7294.9,7296.24,233774.5,32.01
1577570400,2019-12-28 22:00:00,BTC/USD,7311.89,7319.52,7284.04,7302.41,300968.08,41.25
1577566800,2019-12-28 21:00:00,BTC/USD,7321.91,7330.05,7311.89,7311.89,205057.84,28.01
1577563200,2019-12-28 20:00:00,BTC/USD,7323.33,7339.48,7314.25,7321.91,136432.46,18.62
1577559600,2019-12-28 19:00:00,BTC/USD,7316.68,7342.49,7316.45,7323.33,72914.77,9.952
1577556000,2019-12-28 18:00:00,BTC/USD,7324.29,7349.65,7312.89,7316.68,453672.97,61.92
1577552400,2019-12-28 17:00:00,BTC/USD,7313.32,7344.0,7298.88,7324.29,271140.16,37.0
1577548800,2019-12-28 16:00:00,BTC/USD,7298.9,7319.23,7252.23,7313.32,502434.69,68.96
1577545200,2019-12-28 15:00:00,BTC/USD,7306.52,7343.43,7277.16,7298.9,1265122.84,173.11
1577541600,2019-12-28 14:00:00,BTC/USD,7285.0,7317.26,7281.36,7306.52,2819923.56,386.03
1577538000,2019-12-28 13:00:00,BTC/USD,7287.54,7290.87,7273.34,7285.0,149566.74,20.53
1577534400,2019-12-28 12:00:00,BTC/USD,7294.11,7298.57,7278.11,7287.54,184400.68,25.28
1577530800,2019-12-28 11:00:00,BTC/USD,7305.21,7309.02,7264.43,7294.11,252724.76,34.7
1577527200,2019-12-28 10:00:00,BTC/USD,7291.68,7313.0,7276.84,7305.21,387405.09,53.12
1577523600,2019-12-28 09:00:00,BTC/USD,7283.72,7299.0,7267.31,7291.68,194291.97,26.66
1577520000,2019-12-28 08:00:00,BTC/USD,7289.38,7295.35,7244.97,7283.72,1075092.24,148.05
1577516400,2019-12-28 07:00:00,BTC/USD,7294.48,7311.78,7278.0,7289.38,260683.55,35.74
1577512800,2019-12-28 06:00:00,BTC/USD,7306.95,7341.78,7285.16,7294.48,451496.55,61.68
1577509200,2019-12-28 05:00:00,BTC/USD,7298.53,7323.64,7292.67,7306.95,566073.3,77.48
1577505600,2019-12-28 04:00:00,BTC/USD,7273.49,7304.89,7266.62,7298.53,200035.93,27.43
1577502000,2019-12-28 03:00:00,BTC/USD,7293.83,7295.48,7267.9,7273.49,63545.41,8.726
1577498400,2019-12-28 02:00:00,BTC/USD,7300.06,7320.61,7264.0,7293.83,342624.25,47.01
1577494800,2019-12-28 01:00:00,BTC/USD,7300.0,7320.61,7280.7,7300.06,248085.41,33.97
1577491200,2019-12-28 00:00:00,BTC/USD,7246.0,7309.12,7231.0,7300.0,891083.76,122.46
1577487600,2019-12-27 23:00:00,BTC/USD,7228.76,7247.86,7220.33,7246.0,525371.76,72.59
1577484000,2019-12-27 22:00:00,BTC/USD,7220.88,7247.86,7216.01,7228.76,550757.62,76.16
1577480400,2019-12-27 21:00:00,BTC/USD,7212.0,7221.0,7202.0,7220.88,434410.98,60.25
1577476800,2019-12-27 20:00:00,BTC/USD,7204.67,7220.0,7202.66,7212.0,423271.32,58.7
1577473200,2019-12-27 19:00:00,BTC/USD,7212.53,7219.55,7169.64,7204.67,676137.22,93.91
1577469600,2019-12-27 18:00:00,BTC/USD,7187.51,7224.16,7187.51,7212.53,2344566.21,324.97
1577466000,2019-12-27 17:00:00,BTC/USD,7189.53,7201.61,7167.06,7187.51,657321.64,91.5
1577462400,2019-12-27 16:00:00,BTC/USD,7226.83,7255.37,7156.32,7189.53,1195218.89,165.68
1577458800,2019-12-27 15:00:00,BTC/USD,7175.85,7240.39,7175.85,7226.83,3645765.95,505.74
1577455200,2019-12-27 14:00:00,BTC/USD,7177.14,7200.23,7167.78,7175.85,480841.64,66.92
1577451600,2019-12-27 13:00:00,BTC/USD,7205.0,7251.79,7153.86,7177.14,1633945.83,226.85
1577448000,2019-12-27 12:00:00,BTC/USD,7101.05,7211.75,7060.0,7205.0,4258344.44,597.88
1577444400,2019-12-27 11:00:00,BTC/USD,7165.14,7172.2,7052.0,7101.05,4784430.88,671.88
1577440800,2019-12-27 10:00:00,BTC/USD,7160.6,7180.51,7151.71,7165.14,912079.86,127.21
1577437200,2019-12-27 09:00:00,BTC/USD,7179.52,7180.52,7158.75,7160.6,310335.97,43.28
1577433600,2019-12-27 08:00:00,BTC/USD,7164.46,7190.4,7150.95,7179.52,578988.21,80.71
1577430000,2019-12-27 07:00:00,BTC/USD,7186.51,7188.33,7150.0,7164.46,765428.85,106.8
1577426400,2019-12-27 06:00:00,BTC/USD,7195.28,7198.76,7170.78,7186.51,444300.94,61.86
1577422800,2019-12-27 05:00:00,BTC/USD,7182.04,7204.82,7169.53,7195.28,369812.89,51.48
1577419200,2019-12-27 04:00:00,BTC/USD,7213.02,7218.4,7176.54,7182.04,418852.86,58.19
1577415600,2019-12-27 03:00:00,BTC/USD,7205.12,7219.94,7199.03,7213.02,752422.51,104.35
1577412000,2019-12-27 02:00:00,BTC/USD,7195.58,7229.78,7193.92,7205.12,1981288.53,274.64
1577408400,2019-12-27 01:00:00,BTC/USD,7195.48,7201.96,7176.64,7195.58,341793.73,47.53
1577404800,2019-12-27 00:00:00,BTC/USD,7188.3,7210.88,7177.87,7195.48,399157.68,55.48
1577401200,2019-12-26 23:00:00,BTC/USD,7192.55,7204.0,7175.62,7188.3,468588.73,65.18
1577397600,2019-12-26 22:00:00,BTC/USD,7189.04,7194.55,7150.0,7192.55,874621.92,122.04
1577394000,2019-12-26 21:00:00,BTC/USD,7241.63,7244.51,7178.22,7189.04,1745604.52,242.13
1577390400,2019-12-26 20:00:00,BTC/USD,7295.07,7316.13,7228.19,7241.63,1136841.76,156.6
1577386800,2019-12-26 19:00:00,BTC/USD,7353.95,7432.0,7229.78,7295.07,5505667.16,749.01
1577383200,2019-12-26 18:00:00,BTC/USD,7362.0,7381.83,7336.8,7353.95,796811.29,108.27
1577379600,2019-12-26 17:00:00,BTC/USD,7331.29,7375.65,7318.05,7362.0,1470592.32,200.07
1577376000,2019-12-26 16:00:00,BTC/USD,7225.0,7338.91,7186.84,7331.29,1956394.45,269.19
1577372400,2019-12-26 15:00:00,BTC/USD,7205.87,7237.44,7201.23,7225.0,530679.46,73.52
1577368800,2019-12-26 14:00:00,BTC/USD,7200.42,7213.99,7192.9,7205.87,874382.97,121.38
1577365200,2019-12-26 13:00:00,BTC/USD,7204.49,7211.33,7179.92,7200.42,475771.65,66.07
1577361600,2019-12-26 12:00:00,BTC/USD,7180.97,7208.02,7169.13,7204.49,461371.93,64.11
1577358000,2019-12-26 11:00:00,BTC/USD,7201.75,7211.34,7171.49,7180.97,436546.59,60.72
1577354400,2019-12-26 10:00:00,BTC/USD,7201.89,7215.68,7199.55,7201.75,367917.36,51.06
1577350800,2019-12-26 09:00:00,BTC/USD,7219.89,7228.25,7200.39,7201.89,929657.72,128.79
1577347200,2019-12-26 08:00:00,BTC/USD,7201.93,7235.22,7195.0,7219.89,1056195.56,146.29
1577343600,2019-12-26 07:00:00,BTC/USD,7195.5,7205.33,7185.16,7201.93,892485.72,124.01
1577340000,2019-12-26 06:00:00,BTC/USD,7176.25,7215.63,7167.91,7195.5,599870.95,83.38
1577336400,2019-12-26 05:00:00,BTC/USD,7167.64,7188.05,7166.0,7176.25,568367.98,79.22
1577332800,2019-12-26 04:00:00,BTC/USD,7180.72,7187.47,7167.64,7167.64,438097.63,61.01
1577329200,2019-12-26 03:00:00,BTC/USD,7195.18,7195.18,7169.39,7180.72,79336.11,11.04
1577325600,2019-12-26 02:00:00,BTC/USD,7191.94,7203.97,7184.91,7195.18,82315.36,11.44
1577322000,2019-12-26 01:00:00,BTC/USD,7187.69,7200.0,7175.38,7191.94,214420.82,29.83
1577318400,2019-12-26 00:00:00,BTC/USD,7195.79,7214.47,7179.8,7187.69,665036.24,92.41
1577314800,2019-12-25 23:00:00,BTC/USD,7210.3,7210.67,7177.79,7195.79,224582.89,31.23
1577311200,2019-12-25 22:00:00,BTC/USD,7204.54,7225.08,7165.83,7210.3,702238.56,97.56
1577307600,2019-12-25 21:00:00,BTC/USD,7229.2,7247.12,7198.06,7204.54,285380.43,39.52
1577304000,2019-12-25 20:00:00,BTC/USD,7232.66,7260.82,7212.76,7229.2,360833.09,49.85
1577300400,2019-12-25 19:00:00,BTC/USD,7162.05,7235.23,7160.0,7232.66,812938.51,112.84
1577296800,2019-12-25 18:00:00,BTC/USD,7152.0,7168.54,7129.77,7162.05,207311.97,29.0
1577293200,2019-12-25 17:00:00,BTC/USD,7138.57,7164.21,7114.44,7152.0,436655.58,61.08
1577289600,2019-12-25 16:00:00,BTC/USD,7175.16,7199.02,7110.73,7138.57,1454262.65,203.67
1577286000,2019-12-25 15:00:00,BTC/USD,7187.87,7198.78,7171.84,7175.16,173410.27,24.15
1577282400,2019-12-25 14:00:00,BTC/USD,7180.51,7207.32,7167.65,7187.87,274983.6,38.27
1577278800,2019-12-25 13:00:00,BTC/USD,7224.67,7224.67,7172.52,7180.51,2378049.4,331.09
1577275200,2019-12-25 12:00:00,BTC/USD,7204.22,7247.86,7168.43,7224.67,800177.37,111.16
