unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1609372800,2020-12-31 00:00:00,BTC/USD,28893.21,29300.00,27930.75,28992.79,9477.67661813,274784287.8773533
1609286400,2020-12-30 00:00:00,BTC/USD,27370.00,29010.32,27328.37,28881.30,11741.73338120,339116524.30245155
1609200000,2020-12-29 00:00:00,BTC/USD,27037.90,27395.00,25831.85,27370.00,9577.27829174,262130106.8449238
1609113600,2020-12-28 00:00:00,BTC/USD,26242.82,27473.49,26079.60,27037.91,7987.77761059,215972812.13514748
1609027200,2020-12-27 00:00:00,BTC/USD,26472.89,28377.94,25770.00,26259.60,13234.33412894,347528320.4923128
1608940800,2020-12-26 00:00:00,BTC/USD,24714.01,26809.50,24485.32,26466.28,7491.46184626,198271126.83243412
1608854400,2020-12-25 00:00:00,BTC/USD,23747.22,24777.00,23403.82,24705.15,6469.22897257,159823272.15168774
1608768000,2020-12-24 00:00:00,BTC/USD,23215.00,23779.14,22700.10,23726.28,7185.48205493,170484759.17024454
1608681600,2020-12-23 00:00:00,BTC/USD,23819.08,24096.90,22624.92,23247.71,11541.96937133,268324356.77356216
1608595200,2020-12-22 00:00:00,BTC/USD,22750.07,23843.21,22383.59,23835.10,9367.60948339,223277908.79754898
1608508800,2020-12-21 00:00:00,BTC/USD,23470.85,24123.83,21864.86,22732.01,12675.12801873,288131136.8730505
1608422400,2020-12-20 00:00:00,BTC/USD,23842.38,24298.04,23092.77,23470.85,5095.96264009,119606574.73115636
1608336000,2020-12-19 00:00:00,BTC/USD,23142.05,24217.38,22719.78,23842.99,8672.03769610,206767308.06773534
1608249600,2020-12-18 00:00:00,BTC/USD,22829.89,23284.68,22360.93,23136.14,11360.33890442,262834391.3401077
1608163200,2020-12-17 00:00:00,BTC/USD,21358.96,23777.00,21244.04,22814.24,22626.69253048,516210793.79657805
1608076800,2020-12-16 00:00:00,BTC/USD,19434.55,21576.76,19277.66,21365.70,14974.62184371,319943277.92615473
1607990400,2020-12-15 00:00:00,BTC/USD,19274.33,19567.84,19050.00,19434.87,6750.77219425,131200379.9948635
1607904000,2020-12-14 00:00:00,BTC/USD,19151.82,19346.90,18979.21,19274.33,3618.37690457,69741790.5230607
1607817600,2020-12-13 00:00:00,BTC/USD,18806.83,19416.64,18628.10,19162.36,4251.96121032,81477611.41818756
1607731200,2020-12-12 00:00:00,BTC/USD,18031.23,18956.46,18022.55,18815.63,3515.32704607,66143093.027846076
1607644800,2020-12-11 00:00:00,BTC/USD,18250.30,18290.43,17569.58,18040.02,6687.92267389,120650258.79542908
1607558400,2020-12-10 00:00:00,BTC/USD,18546.38,18562.13,17908.00,18250.30,6784.45549144,123818348.05542742
1607472000,2020-12-09 00:00:00,BTC/USD,18311.31,18654.92,17640.33,18556.64,8906.94524733,165282976.45441377
1607385600,2020-12-08 00:00:00,BTC/USD,19183.13,19300.55,18163.52,18316.43,5979.96623279,109531632.90526174
1607299200,2020-12-07 00:00:00,BTC/USD,19385.13,19431.00,18905.00,19173.50,4323.27044132,82892225.80664901
1607212800,2020-12-06 00:00:00,BTC/USD,19162.17,19418.39,18870.62,19380.58,2503.45426290,48518395.61847448
1607126400,2020-12-05 00:00:00,BTC/USD,18650.08,19185.17,18500.00,19162.16,2376.72322359,45543150.686147355
1607040000,2020-12-04 00:00:00,BTC/USD,19439.94,19552.50,18573.89,18673.76,6261.69674357,116929422.1822077
1606953600,2020-12-03 00:00:00,BTC/USD,19220.09,19621.00,18881.62,19448.40,6196.52507218,120512498.21378553
1606867200,2020-12-02 00:00:00,BTC/USD,18773.21,19346.90,18334.00,19226.55,6749.36401948,129766984.78873318
1606780800,2020-12-01 00:00:00,BTC/USD,19703.53,19918.01,18100.00,18771.43,11799.58943351,221495167.07987264
1606694400,2020-11-30 00:00:00,BTC/USD,18196.75,19864.15,18196.75,19700.19,10612.67092499,209071633.6297787
1606608000,2020-11-29 00:00:00,BTC/USD,17724.41,18352.47,17534.87,18192.03,3736.15917940,67968319.87642018
1606521600,2020-11-28 00:00:00,BTC/USD,17160.38,17896.03,16875.01,17741.79,4471.52202455,79332804.73994096
1606435200,2020-11-27 00:00:00,BTC/USD,17168.31,17471.89,16435.47,17154.39,8964.83242941,153786231.7787466
1606348800,2020-11-26 00:00:00,BTC/USD,18727.24,18911.04,16218.00,17160.09,21424.98655676,367654697.5627917
1606262400,2020-11-25 00:00:00,BTC/USD,19175.13,19490.00,18470.91,18732.43,8962.62225501,167891694.00841695
1606176000,2020-11-24 00:00:00,BTC/USD,18386.92,19442.13,18068.56,19160.85,13262.83116668,254127118.56008047
1606089600,2020-11-23 00:00:00,BTC/USD,18432.60,18786.31,18001.95,18383.35,9412.08722183,173025693.6294285
1606003200,2020-11-22 00:00:00,BTC/USD,18726.43,18770.55,17600.00,18435.20,6417.21771734,118302692.06270637
