unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1609455600,2020-12-31 23:00:00,BTC/USD,29135.25,29161.46,28843.74,28992.79,500.35347157,14506643.126999982
1609452000,2020-12-31 22:00:00,BTC/USD,28987.60,29191.60,28945.26,29144.56,220.72244428,6432858.520665117
1609448400,2020-12-31 21:00:00,BTC/USD,29200.00,29219.01,28947.70,28992.18,394.44188375,11435730.093219075
1609444800,2020-12-31 20:00:00,BTC/USD,28949.71,29200.00,28921.64,29198.34,520.77220766,15205683.981807286
1609441200,2020-12-31 19:00:00,BTC/USD,28912.47,29052.03,28776.17,28949.03,365.06431517,10568257.811785784
1609437600,2020-12-31 18:00:00,BTC/USD,28592.09,28935.48,28521.97,28920.98,452.90160474,13098358.252653444
1609434000,2020-12-31 17:00:00,BTC/USD,28398.59,28767.37,28365.33,28599.82,542.77704884,15523325.896955209
1609430400,2020-12-31 16:00:00,BTC/USD,28810.00,28857.20,28329.50,28398.59,361.74061356,10272923.37083888
1609426800,2020-12-31 15:00:00,BTC/USD,28392.14,28901.97,28385.58,28816.23,562.33194708,16204286.723405108
1609423200,2020-12-31 14:00:00,BTC/USD,28556.00,28560.41,28126.38,28408.32,418.85532067,11898975.983295975
1609419600,2020-12-31 13:00:00,BTC/USD,28664.05,28671.29,27930.75,28556.00,786.17385972,22449980.73816432
1609416000,2020-12-31 12:00:00,BTC/USD,28910.00,29013.87,28412.66,28668.77,364.41804086,10447416.997265942
1609412400,2020-12-31 11:00:00,BTC/USD,29165.42,29165.42,28910.00,28933.74,373.22102193,10798680.011056919
1609408800,2020-12-31 10:00:00,BTC/USD,28988.87,29191.73,28972.06,29160.05,281.82522814,8218037.743823806
1609405200,2020-12-31 09:00:00,BTC/USD,28945.32,29086.90,28602.61,28993.02,455.55894477,13208029.596895505
1609401600,2020-12-31 08:00:00,BTC/USD,29178.30,29224.37,28797.87,28932.98,348.37362606,10079487.155321458
1609398000,2020-12-31 07:00:00,BTC/USD,28921.66,29296.95,28921.66,29178.30,261.38626296,7626806.796525768
1609394400,2020-12-31 06:00:00,BTC/USD,28975.71,29084.26,28875.69,28894.60,226.53175935,6545544.57371451
1609390800,2020-12-31 05:00:00,BTC/USD,29021.19,29037.71,28742.12,28982.82,270.04929344,7826790.0628987
1609387200,2020-12-31 04:00:00,BTC/USD,29067.66,29199.29,28858.57,29026.36,224.55830852,6518110.304092587
1609383600,2020-12-31 03:00:00,BTC/USD,28735.87,29156.75,28721.32,29044.98,291.42582206,8464457.173216257
1609380000,2020-12-31 02:00:00,BTC/USD,28755.16,28809.16,28628.61,28735.87,120.74673176,3469762.3867802313
1609376400,2020-12-31 01:00:00,BTC/USD,29162.05,29177.40,28200.09,28768.41,689.94015929,19848481.377920028
1609372800,2020-12-31 00:00:00,BTC/USD,28893.21,29300.00,28889.95,29136.05,443.50670195,12922033.443350296
1609369200,2020-12-30 23:00:00,BTC/USD,28731.27,28936.93,28643.32,28881.30,142.47105348,4114749.236871924
1609365600,2020-12-30 22:00:00,BTC/USD,28896.96,28942.32,28602.61,28704.39,237.25136151,6810155.608814029
1609362000,2020-12-30 21:00:00,BTC/USD,28789.77,29008.00,28510.00,28896.96,474.77382165,13719520.133267183
1609358400,2020-12-30 20:00:00,BTC/USD,28807.89,29010.32,28605.54,28805.91,758.99780261,21863622.392181426
1609354800,2020-12-30 19:00:00,BTC/USD,28523.16,28917.39,28465.73,28813.76,1213.07091424,34953134.18589194
1609351200,2020-12-30 18:00:00,BTC/USD,28259.01,28534.08,28246.00,28525.26,595.87207603,16997405.89549552
1609347600,2020-12-30 17:00:00,BTC/USD,28150.92,28328.68,28050.00,28257.46,422.14925571,11928865.707255095
1609344000,2020-12-30 16:00:00,BTC/USD,28160.90,28232.10,27896.34,28150.92,457.98394717,12892669.458066896
1609340400,2020-12-30 15:00:00,BTC/USD,28193.92,28290.00,28025.37,28147.11,316.95246369,8921295.860253436
1609336800,2020-12-30 14:00:00,BTC/USD,27874.25,28193.92,27865.50,28193.92,345.53986552,9742123.325281637
1609333200,2020-12-30 13:00:00,BTC/USD,27848.67,28160.13,27747.64,27856.88,356.13708113,9920867.932588676
1609329600,2020-12-30 12:00:00,BTC/USD,27811.87,27928.74,27563.67,27840.63,280.04578627,7796651.118602151
1609326000,2020-12-30 11:00:00,BTC/USD,27825.00,27927.86,27580.00,27814.92,324.38147692,9022644.830011645
1609322400,2020-12-30 10:00:00,BTC/USD,27854.99,28051.34,27724.50,27850.54,418.66391515,11660016.11544168
1609318800,2020-12-30 09:00:00,BTC/USD,27728.33,27888.58,27328.37,27850.27,548.21700348,15267991.565508941
1609315200,2020-12-30 08:00:00,BTC/USD,28349.70,28556.32,27468.02,27717.42,887.16371605,24589889.326518588
1609311600,2020-12-30 07:00:00,BTC/USD,28348.00,28599.99,28255.55,28367.91,421.39745633,11954165.11539837
1609308000,2020-12-30 06:00:00,BTC/USD,28002.05,28568.33,27908.14,28372.80,709.19317169,20121796.02172603
1609304400,2020-12-30 05:00:00,BTC/USD,27896.98,28128.00,27810.00,27988.36,499.79504290,13988443.586900644
1609300800,2020-12-30 04:00:00,BTC/USD,28022.37,28160.13,27707.43,27896.98,416.62051681,11622454.225038234
1609297200,2020-12-30 03:00:00,BTC/USD,27997.82,28233.00,27791.08,27999.24,660.19305393,18484903.763319016
1609293600,2020-12-30 02:00:00,BTC/USD,27592.81,28010.58,27476.34,27993.86,453.70193243,12700868.37817488
1609290000,2020-12-30 01:00:00,BTC/USD,27605.00,27691.27,27502.30,27595.26,267.79965793,7390001.188489412
1609286400,2020-12-30 00:00:00,BTC/USD,27370.00,27820.97,27362.63,27605.00,533.36100857,14723430.641574848
1609282800,2020-12-29 23:00:00,BTC/USD,27017.50,27395.00,26926.41,27370.00,308.36829801,8440040.3165337
1609279200,2020-12-29 22:00:00,BTC/USD,26902.64,27110.98,26892.06,27013.57,237.47204921,6414967.82437778
1609275600,2020-12-29 21:00:00,BTC/USD,26976.20,27190.00,26811.61,26899.53,606.77792838,16322041.087795662
1609272000,2020-12-29 20:00:00,BTC/USD,26904.65,26994.00,26735.81,26983.54,552.08566648,14897225.66488974
1609268400,2020-12-29 19:00:00,BTC/USD,26577.94,26923.60,26521.17,26902.73,445.13289283,11975290.029924426
1609264800,2020-12-29 18:00:00,BTC/USD,26606.06,26740.24,26552.46,26577.94,451.06033889,11988254.623398086
1609261200,2020-12-29 17:00:00,BTC/USD,26404.86,26611.71,26218.93,26601.71,584.34915924,15544686.872846298
1609257600,2020-12-29 16:00:00,BTC/USD,26577.37,26596.13,26205.00,26412.66,477.73688878,12618302.012803955
1609254000,2020-12-29 15:00:00,BTC/USD,26640.00,26709.92,26410.00,26578.72,658.69475457,17507263.44718475
1609250400,2020-12-29 14:00:00,BTC/USD,26851.52,26872.45,26568.84,26626.63,436.42657430,11620568.91605361
1609246800,2020-12-29 13:00:00,BTC/USD,26859.42,26954.26,26712.69,26842.83,370.92835959,9956766.89865324
1609243200,2020-12-29 12:00:00,BTC/USD,26849.31,27067.42,26822.69,26858.63,532.02711809,14289519.51474562
1609239600,2020-12-29 11:00:00,BTC/USD,26705.00,26872.01,26537.08,26827.93,414.89201468,11130693.927394012
1609236000,2020-12-29 10:00:00,BTC/USD,26560.01,26829.62,26554.31,26704.99,309.68198606,8270054.34091244
1609232400,2020-12-29 09:00:00,BTC/USD,26623.86,26709.86,26495.27,26567.32,246.26441397,6542585.49055346
1609228800,2020-12-29 08:00:00,BTC/USD,26379.05,26731.20,26379.05,26613.58,454.28993818,12090281.612948485
1609225200,2020-12-29 07:00:00,BTC/USD,26314.31,26414.78,26110.89,26375.50,236.56409891,6239496.390800705
1609221600,2020-12-29 06:00:00,BTC/USD,26403.84,26486.95,26217.72,26328.86,233.95859927,6159863.205975933
